User_ID,User_Name,Platform,Date,State,Region,Followers,Views,Likes,Shares,Comments,Revenue_Source
USR00001,user_1,YouTube,2021-02-12,West Virginia,West,2768080,19372860,850362,38235,80095,Merchandise
USR00002,user_2,Snapchat,2020-07-05,South Carolina,South,362527,5875394,1325481,29621,79445,Affiliate
USR00003,user_3,Snapchat,2021-09-11,New York,East,2251888,9359073,3424727,116032,75694,Ads
USR00004,user_4,Instagram,2021-11-24,Colorado,North,3712496,8732120,1634073,127578,95973,Subscription
USR00005,user_5,Instagram,2020-12-01,Arkansas,Central,4000874,12114183,225983,75912,40832,Ads
USR00006,user_6,YouTube,2021-01-12,Illinois,Central,2232944,2136268,699928,352802,1344,Sponsorship
USR00007,user_7,Snapchat,2024-01-26,Louisiana,South,3832626,10294728,159969,193541,1691,Affiliate
USR00008,user_8,Snapchat,2020-05-26,Wyoming,Central,2261855,10533989,3125940,245778,30446,Ads
USR00009,user_9,YouTube,2023-09-20,Alabama,South,2104999,2860726,127398,451027,89562,Sponsorship
USR00010,user_10,Snapchat,2023-11-09,Nevada,West,3771371,14501736,4606911,209092,42768,Affiliate
USR00011,user_11,Facebook,2021-02-15,New Jersey,East,3934071,15104750,4345573,193277,50505,Ads
USR00012,user_12,Facebook,2020-06-10,South Dakota,North,3441144,12933701,861083,40502,86665,Ads
USR00013,user_13,Twitter,2022-09-01,Oklahoma,East,135026,5563388,4751596,393914,92702,Merchandise
USR00014,user_14,Instagram,2023-03-03,Missouri,Central,2810462,14284529,4362672,350590,43654,Affiliate
USR00015,user_15,YouTube,2022-10-16,Illinois,Central,4043856,9198229,1246449,117090,616,Merchandise
USR00016,user_16,Twitter,2024-05-28,Ohio,Central,428247,173673,4844876,246064,42693,Ads
USR00017,user_17,Snapchat,2024-02-17,Wisconsin,North,1844664,12243575,3521542,7108,39187,Ads
USR00018,user_18,YouTube,2023-08-22,West Virginia,East,4900778,19630940,3216470,409777,85573,Sponsorship
USR00019,user_19,Instagram,2021-10-06,Florida,South,1675947,3099562,3529298,43796,55813,Merchandise
USR00020,user_20,Instagram,2021-07-22,Indiana,Central,1174501,11037324,4439217,392046,83975,Merchandise
USR00021,user_21,Facebook,2020-10-15,Montana,Central,2678568,14787983,4003606,379663,75055,Merchandise
USR00022,user_22,Twitter,2023-06-25,Montana,South,4371971,12488974,557911,489253,23439,Merchandise
USR00023,user_23,Instagram,2024-11-04,Arkansas,South,2957916,13226058,977330,188219,50723,Subscription
USR00024,user_24,Instagram,2024-06-08,Minnesota,North,151258,5042238,1698415,431918,32916,Affiliate
USR00025,user_25,Facebook,2022-06-21,Pennsylvania,East,2921274,15731680,3945632,367183,51367,Subscription
USR00026,user_26,Instagram,2024-12-02,Rhode Island,Central,2852691,6429180,577142,188582,23643,Merchandise
