Review ID,text,Body,sentiment,Product id
1,Just OK but won't repurchase,"I prefer candles to fragrance my home but wanted to use this in a upstairs guest bathroom so I could feel save leaving it unattended. First, the lavender sage scent is fantastic. It's elegant and doesn't smell synthetic or sickening, I think it's perfect for a bathroom space.Regarding the potency: it's very disappointing. I basically left the reeds in the bottle overnight (I couldn't smell anything in the morning, the oil hadn't soaked the whole reed yet) and then flipped the reeds so the oily sides were outside of the bottle. This is the only way I can detect a fragrance but it's very faint. I can't imagine this would be effective in any space larger than a half bath or powder room.It's OK for my purposes but once this is depleted, I won't be repurchasing.",3,B09VTNCFKL
2,Good scent,Love this reed diffuser! This is a good alternative for people trying to get away from toxic candles but still want their house to smell good. I am very sensitive to smells so it's nice that I can add or take away a reed and it changes the strength of the smell that gets released. This smells like a clean air bnb on the beach. It also arrived quickly and was packaged nicely to avoid potential damage in the mail. Will be purchasing again!,5,B09VTNCFKL
3,"Overpowering, do not buy if you have pets!!","Update: the seller kindly refunded me, and that speaks volumes to the seller's integrity and commitment to customer service! This product isn't for me, but if you need a really strong room fragrance, it might be for you!So overpowering, even with only 4 reeds,  I could smell and TASTE the artificial smell two floors down!!  It's like the strongest,  most beast-mode perfume you can imagine --- amped up 1000%.  I ended up pouring it down the drain and throwing the bottle and reeds in the trash bin so I could breathe.  Hours later, the strong taste/smell in the primary bathroom and bedroom is still overpowering, even as I write this.  Please beware if you have pets!!!  Cats are especially sensitive.  This is WAY too strong, I would not buy if you have cats/ dogs!",1,B09VTNCFKL
4,Surprisingly lovely and fragrant,"I bought based only on reviews - wanted something for my small office.  It was a gamble, but one that paid off.  I use only a few reeds rather than all of them, and that's enough for my small area.  Its scent is present, but not over-powering and has made at least one person already ask for the link to purchase their own.  Salt and Sea no. 35 is a lovely blend of citrus and amber - more musky than bright - but also nice and neutral because of it.  Lovely.",5,B0CC3SZ5F4
5,Doesn't like heat,I'll start by saying the product is great. Smells good and everything. But just a suggestion for everyone that lives in hot parts of the world. DO NOT OPEN when contents have sat in the hot sun all day. Opened it to smell it and POP the plastic cap hit my eye and oil came with it. Bright side I can smell it all day now. Down side can't see out right eye. Great product though.,5,B09VTNCFKL
6,Smells amazing,I don�??t really like things that smell strong or too much like perfume. This is subtle and smells like you walked into a spa. I can�??t even explain how obsessed I am with it. I already ordered another one for the other side of the house.,5,B09VTNCFKL
7,Smells wonderful,"I initially bought this for a small room but found the scent overwhelming in that small space. Instead, I use it in the entryway and it�??s perfect. The scent is a nice welcome home that gets picked up midway from the bottom of our stairs. Will repurchase",5,B0C31B76SR
8,Perfect for my bathroom,"I tried one other reed diffuser before and it just didn�??t do anything. This one is SO much better, fills the entire bathroom with such a nice fragrance and it lingers/lasts so long. The salt and sea scent is perfect and smells so fresh! 10/10",5,B0C31B76SR
9,Delightful,"This smells delightful. I purchased both Weekend and Spa Day. I far prefer Spa Day to Weekend. Weekend smells very much like perfume to me. Spa Day is a much softer scent.It will take a few days for the fragrance to seep up the sticks. Once the fragrance has seeped up the stick, I can smell it when I walk by and I am several feet away.I purchased sola flowers for these.",5,B09VTNCFKL
10,Good product nice smell,"Nice smell and really pretty on a shelf as decor. It was def way too strong initially, but I pulled a few sticks out and then it was much better! Know some people said it was too strong but think this might do the trick! I have 3 sticks in and that was the right amount for us!",4,B09VTNCFKL
11,MOST scents have been great,"Have purchased several varieties of diffuser reed sets from this brand and enjoyed the scents, the minimalist aesthetic, and the longevity of the scent throw (a few months). The Island Air scent, however, was the first one I found to be intolerable. Maybe I just received a bad batch but it was so bad. Had to throw it out after a few days as it was just awful. The others have been perfectly fine, however. Warm & Cozy, for example, was really nice for the winter months. Not sure what happened with Island Air..",4,B0C59KPSCR
12,Salt and Sea #35 smells fantastic!,"I bought this oil diffuser and was worried the smell would be too faint for our open concept living area.  It's an open space: entryway, kitchen, dining room, and living room all being one big area with maybe 20ft slightly vaulted ceilings.  I'm a little bit crazy about our house smelling good too, so I have pretty high standards.  I have had this diffuser set up for about a week now and I have to say I'm very impressed.  The entire area smells great! I can even smell it when I walk in through our garage and into the laundry room which is a separate room not open to the rest of the house.  I am unfortunately a little sensitive to smells and tend to get headaches/stuffy nose if a scent is too strong, which is the case with this oil diffuser.  I'm not knocking it any at all though because that's just me. It only means this diffuser is quite potent, which is really what I was looking for.  I may place it somewhere else until the scent starts to become a little more faint.  Overall I'm very happy with this product and likely will buy more from this company in the future.",5,B09VTNCFKL
13,Amazing scent but wish you could purchase the liquid as a refill!,I love the clean scents offered and have repurchased these diffusers in various scents.  I have one in our powder room and get many remarks on how people love the scent!  I've had friends take pictures of the diffuser so that they can purchase it as well.  The only reason I gave 4 stars instead of 5 is that I wish this was a more sustainable product--I would LOVE to be able to just purchase the liquid to refill the glass bottle instead of having to recycle the bottles and purchase new ones.,4,B0C31B76SR
14,The BEST Non irritating smell,I LOVE this fragrance! I�??m super sensitive to smells and this is very clean and crisp. I bought it for our Air BnB studio and every time I walk in I just absolutely love the soft yet sweet aroma of Thai scent. I love it so much I�??m buying more for my main house. The best thing about this is it absolutely works very well and that it doesn�??t make me feel sick or irritate my nose. Highly recommend!,5,B09VTNCFKL
15,Scent range is excellent,"The overall product is great. The scent is powerful and has handedly permeated about 600 square feet of space.?�But me and the scent are at odds. And as such, my personal take on ""Spa Day"": I was expecting a lighter, more natural, herby type smell. But Spa Day is a little too perfumy and a lot too baby powdery. Its aroma is nowhere close to any spa I've smelt. BUT, if you're working the nostalgia angle, this is spot on for body spray your 14 year old self would have headed on over to Bath and Body Works to grab before the junior high dance. It's not terrible smell, but personally, I no like it.?�Once this current batch runs it's course, I will definitely?�be back to purchase other smells?�from this brand until I find one that my nose likes. The goal of a diffuser?�is to make your space smell like something?�else, and this diffuser definitely?�delivers.?�I recommend.",5,B09VV758JL
